timestamp,price_close,volume,asset_id
2026-05-09 07:00:34.180,80225.08553906319,8022508.553906319,1
2026-05-09 08:00:20.685,80217.38206877769,8021738.206877769,1
2026-05-09 09:00:10.776,80393.63767911753,8039363.767911753,1
2026-05-09 10:00:17.112,80205.7613054906,8020576.130549059,1
2026-05-09 11:01:04.837,80252.18834131895,8025218.834131895,1
2026-05-09 12:00:23.893,80350.36116385079,8035036.116385079,1
2026-05-09 13:00:29.436,80385.0903436548,8038509.03436548,1
2026-05-09 14:00:55.965,80375.02812868063,8037502.812868062,1
2026-05-09 15:00:28.716,80321.08226008785,8032108.226008785,1
2026-05-09 16:00:39.151,80513.2583951042,8051325.83951042,1
2026-05-09 17:00:11.378,80630.9162025437,8063091.620254369,1
2026-05-09 18:01:13.657,80785.86258160052,8078586.258160052,1
2026-05-09 19:00:41.248,80879.96174929348,8087996.174929348,1
2026-05-09 20:00:48.087,80894.73012869508,8089473.012869508,1
2026-05-09 21:00:12.832,80788.8733783315,8078887.337833149,1
2026-05-09 22:00:46.614,80783.06688231578,8078306.688231577,1
2026-05-09 23:00:54.295,80742.81677374235,8074281.677374235,1
2026-05-10 00:00:21.244,80678.03394296461,8067803.394296461,1
2026-05-10 01:00:49.367,80636.17438569819,8063617.43856982,1
2026-05-10 02:00:44.524,80646.3677133728,8064636.77133728,1
2026-05-10 03:00:42.298,80740.68224066612,8074068.224066612,1
2026-05-10 04:00:39.559,80784.86044941361,8078486.044941361,1
2026-05-10 05:00:24.394,80756.84067640145,8075684.067640145,1
2026-05-10 06:00:53.710,80687.81763340271,8068781.763340271,1
2026-05-10 07:00:49.530,80707.17550393201,8070717.550393201,1
2026-05-10 08:00:48.424,80713.38278757007,8071338.278757007,1
2026-05-10 09:00:12.115,80807.26967707316,8080726.967707315,1
2026-05-10 10:00:52.849,80789.39171240719,8078939.171240719,1
2026-05-10 11:00:36.713,80866.49555629356,8086649.555629357,1
2026-05-10 12:00:54.370,80823.27765456258,8082327.765456258,1
2026-05-10 13:00:45.367,80887.27456820405,8088727.456820405,1
2026-05-10 14:00:33.610,80934.7288755923,8093472.8875592295,1
2026-05-10 15:00:18.573,80932.16651690709,8093216.651690709,1
2026-05-10 16:00:46.028,81405.10348001376,8140510.348001376,1
